# T muB eHG nBHG eQGP nBQGP 
0.0787157 0.657 0.0005399317143771888 0.0004905440047561891 0.000562678491406738 0.0005125719464838654 
0.0784513 0.658 0.0005364279236841599 0.0004880004853216512 0.0005590041793963042 0.0005098069619488842 
0.0781868 0.659 0.0005330055887385038 0.0004854559461155554 0.0005553428819188582 0.0005070426412843064 
0.07792199999999999  0.66 0.0005296205199670737 0.0004828595196749765 0.0005516945864511919 0.0005042782860061525 
0.0776571 0.661 0.0005261495411836576 0.0004803333470909403 0.0005480592807251479 0.000501514853521677 
0.077392 0.662 0.0005228050025533678 0.0004777827529358622 0.0005444369527246646 0.0004987520574607764 
0.07712680000000001 0.663 0.0005194565136028802 0.0004752466865280795 0.000540827590682811 0.0004959904431940977 
0.0768613 0.664 0.0005161656305749666 0.00047265547546719556 0.0005372311830788202 0.0004932293024052434 
0.07659569999999999 0.665 0.0005127703843749848 0.0004701187717534375 0.0005336477186351139 0.0004904695984933083 
0.07632989999999999 0.666 0.0005092621880614933 0.00046759848759365746 0.0005300771863143212 0.0004877110393487569 
0.07606399999999999 0.667 0.0005059953563090816 0.00046500566548588954 0.0005265195753162923 0.00048495417183780874 
0.0757978 0.668 0.000502649776975709 0.0004624246746762319 0.0005229748750751013 0.0004821982790745184 
0.0755316 0.669 0.0004993695296038669 0.00045991765567384335 0.0005194430752560495 0.0004794447517944743 
0.0752651  0.67 0.0004959789278929399 0.0004574128763627701 0.0005159241657526555 0.00047669244788368383 
0.07499850000000001 0.671 0.0004925587195504509 0.0004547742419002968 0.0005124181366836411 0.0004739423370438219 
0.0747318 0.672 0.0004893518430341709 0.00045222795026279286 0.0005089249783899115 0.0004711945441489109 
0.0744648 0.673 0.0004861202342880928 0.0004497173146255003 0.0005054446814315278 0.000468448343245917 
0.0741978 0.674 0.0004829533596373276 0.0004471399870745986 0.0005019772365846694 0.0004657051315769616 
0.0739306 0.675 0.0004795984625772918 0.00044453409920471314 0.0004985226348385983 0.000462964181508062 
0.0736632 0.676 0.00047641632134347165 0.00044212054639933355 0.0004950808673926024 0.00046022561403092233 
0.07339570000000001 0.677 0.00047322355862774117 0.00043945273723520936 0.0004916519256529465 0.00045748997641417136 
0.0731281 0.678 0.00046997041988219374 0.00043690535560328463 0.00048823580122980495 0.0004547573896676839 
0.07286029999999999 0.679 0.00046676172631655155 0.0004343126430087621 0.0004848324859341929 0.000452027546726232 
0.0725924  0.68 0.000463585956248466 0.0004318511416143472 0.00048144197177488895 0.0004493009940313538 
0.0723243 0.681 0.00046045414247899194 0.00042928954839688814 0.0004780642509553494 0.00044657742273587113 
0.0720561 0.682 0.0004572235052643166 0.00042678206113384257 0.0004746993158706147 0.00044385737855530595 
0.0717878 0.683 0.00045406747805797813 0.0004240897644218247 0.0004713471591042121 0.00044114097911567376 
0.07151940000000001 0.684 0.0004509439682801375 0.00042160115813476095 0.00046800777342504503 0.0004384283413096157 
0.0712508 0.685 0.0004477526300593141 0.0004191219187385418 0.00046468115178428137 0.00043571915301896034 
0.0709821 0.686 0.00044475692725930497 0.0004165317328726226 0.000461367287312227 0.0004330139578909789 
0.0707133 0.687 0.0004415651844483317 0.0004140407368087827 0.0004580661733151984 0.00043031287070951634 
0.0704443 0.688 0.0004384711290104288 0.0004115049578342355 0.0004547778032723834 0.0004276155772805897 
0.0701753 0.689 0.0004353951560319263 0.0004090183951837077 0.0004515021708326936 0.00042492304743955566 
0.0699061  0.69 0.00043226635748447225 0.0004063990958246111 0.00044823926981161415 0.000422234537416907 
0.0696368 0.691 0.0004292377534545834 0.0004040212641341203 0.0004449890941880391 0.0004195505873265435 
0.06936740000000001 0.692 0.0004262122825886199 0.0004014701468041217 0.0004417516381011036 0.00041687130829051066 
0.06909789999999999 0.693 0.00042313426440645884 0.000398865302056862 0.0004385268958470065 0.00041419681066640827 
0.0688283 0.694 0.00042013974189077476 0.000396424771535844 0.00043531486187582365 0.0004115272040440914 
0.0685585 0.695 0.00041704921697072823 0.00039383091554400917 0.00043211553078831625 0.00040886217036901535 
0.06828870000000001 0.696 0.0004141108767171367 0.0003913511648587027 0.00042892889733272936 0.0004062026717662038 
0.0680188 0.697 0.0004110037288756756 0.00038876986031027996 0.00042575495640158133 0.0004035483883293253 
0.0677487 0.698 0.00040807503060427333 0.0003862349109496485 0.0004225937030284478 0.0004008990007741212 
0.0674786 0.699 0.00040500644832919817 0.000383725935732781 0.00041944513238473686 0.0003982554667766419 
0.0672084   0.7 0.0004020620909725191 0.00038126000751720975 0.0004163092397764519 0.00039561746507806093 
